userid,label,ff,inf,type1,type2,type3,times,,,,,,,,,,,
616217345,1,24.16129032,0.031746032,0.954545455,0.045454545,0,1,0,1,1,1,0,0,1,1,0,1,1
616217624,1,30.08333333,0.06779661,0.983333333,0.016666667,0,1,0,1,0,1,0,1,1,1,0,0,0
616217714,1,20.92857143,0.035714286,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0
616217762,1,29.09090909,0.076923077,0.970149254,0.029850746,0,0,0,0,1,1,1,1,1,1,0,1,0
616217828,1,18.7037037,0.173076923,0.981132075,0.018867925,0,0,0,0,1,0,0,1,1,0,1,0,0
616217858,1,26.07407407,0.025,0.987654321,0.012345679,0,1,0,0,0,0,1,1,0,1,1,0,0
616217867,1,51.33333333,0.138461538,0.984848485,0.015151515,0,0,0,0,1,1,0,1,0,1,0,0,0
616217939,1,26.75,0.036363636,0.982142857,0.017857143,0,0,0,0,0,0,1,1,1,0,1,0,1
616217972,1,25.30434783,0.046153846,0.984848485,0.015151515,0,0,0,0,1,1,1,0,0,1,1,0,1
616218053,1,34.1,0.037037037,0.964285714,0.035714286,0,0,0,0,0,0,1,0,1,1,1,0,0
616218281,1,29.75,0.032258065,0.96875,0.03125,0,0,0,0,1,0,1,1,0,0,1,0,0
616218317,1,18.5,0.105263158,0.982758621,0.017241379,0,1,0,1,0,1,0,1,1,0,1,0,0
616218326,1,21.73076923,0.014285714,0.972222222,0.027777778,0,0,0,0,1,1,1,1,1,0,1,0,0
616218377,1,26.45454545,0.069444444,0.935064935,0.064935065,0,0,0,0,1,1,0,1,1,1,0,0,1
616218482,1,30.35,0.052631579,0.95,0.05,0,0,0,0,0,1,1,0,0,1,1,0,1
616218488,1,20,0.118644068,0.983333333,0.016666667,0,1,0,1,1,0,0,1,0,1,1,1,0
616218557,1,22.07142857,0.047619048,0.969230769,0.030769231,0,0,1,0,1,1,0,1,0,0,1,0,0
616218743,1,28.15384615,0.046153846,0.984848485,0.015151515,0,1,0,0,1,1,1,0,0,0,1,1,1
616218776,1,25.84,0.029850746,0.971014493,0.028985507,0,0,0,1,1,1,1,1,0,1,1,0,0
616218845,1,18.3030303,0.049180328,0.968253968,0.031746032,0,0,0,0,0,1,1,1,0,1,0,1,0
616218947,1,38.78571429,0.068965517,0.983050847,0.016949153,0,0,0,0,1,1,1,1,0,1,1,1,0
616219076,1,40.64285714,0.071428571,0.98245614,0.01754386,0,0,0,0,0,1,1,0,1,1,1,0,0
616219148,1,25.17391304,0.027027027,0.986666667,0.013333333,0,0,0,1,1,0,0,1,0,1,1,0,0
616219172,1,32.89473684,0.089285714,0.918032787,0.081967213,0,0,0,0,1,1,1,1,1,1,0,0,0
616219193,1,19.6,0.057142857,0.972222222,0.027777778,0,0,0,1,1,1,1,1,1,0,1,0,0
616219253,1,30,0.125,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0
616219256,1,22.11111111,0.133333333,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
616219507,1,23.33333333,0.057692308,0.962962963,0.037037037,0,0,0,1,1,1,0,0,1,1,1,0,0
616219633,1,32.05263158,0.019607843,0.980769231,0.019230769,0,0,0,1,1,1,0,1,1,0,1,0,0
616219676,1,48.91666667,0.038461538,0.981132075,0.018867925,0,0,0,0,0,0,0,1,1,1,0,1,0
616219790,1,15.875,0.016393443,0.968253968,0.031746032,0,0,0,0,1,1,0,0,1,1,1,0,0
616219802,1,26.92,0.040816327,0.907407407,0.092592593,0,1,0,0,0,1,0,0,0,0,0,1,1
616219883,1,31.05555556,0,0.944444444,0.055555556,0,0,0,1,1,1,0,0,1,0,1,0,0
616219934,1,28.57692308,0.031746032,0.969230769,0.030769231,0,1,1,0,0,1,1,1,1,0,1,0,0
616220039,1,34.82352941,0.022222222,0.97826087,0.02173913,0,1,0,0,1,1,0,0,0,1,1,1,0
616220111,1,20.10344828,0.152173913,0.978723404,0.021276596,0,0,1,0,1,1,1,0,0,0,1,0,1
616220140,1,38.5625,0.035087719,0.982758621,0.017241379,0,0,1,0,0,1,1,0,0,0,1,1,0
616220327,1,26.5,0.016949153,0.967213115,0.032786885,0,0,0,0,0,1,0,1,1,0,0,0,0
616220383,1,32.94736842,0.086206897,0.966666667,0.033333333,0,1,0,1,1,1,0,1,0,1,0,0,0
616220414,1,40.52941176,0.066666667,0.983606557,0.016393443,0,0,0,1,1,0,1,1,0,0,0,0,0
616220423,1,24.58333333,0.075,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1
616220519,1,25.04545455,0.035714286,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0
616220543,1,26.2962963,0.029411765,0.971428571,0.028571429,0,0,0,1,0,1,0,1,1,1,1,1,0
616220612,1,25.19047619,0.056338028,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
616220681,1,29.2,0.137931034,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1
616220743,1,29.5,0.028301887,0.990654206,0.009345794,0,0,0,1,1,0,1,1,0,1,1,0,0
616220864,1,18.09677419,0.090909091,0.970588235,0.029411765,0,0,0,0,1,1,0,1,1,1,0,0,1
616221038,1,23.72,0.057692308,0.962962963,0.037037037,0,0,0,0,1,0,0,0,1,1,1,1,0
616221044,1,23.33333333,0.138888889,0.972972973,0.027027027,0,0,0,1,1,1,1,0,1,0,1,0,0
616221088,1,27.08695652,0.038461538,0.981132075,0.018867925,0,1,1,0,0,1,1,1,1,0,1,0,0
616221151,1,27.16,0.076923077,0.970149254,0.029850746,0,1,0,0,1,1,0,0,0,0,1,1,0
616221152,1,23.6,0.066666667,0.97826087,0.02173913,0,1,0,1,1,1,1,1,0,0,1,0,0
616221239,1,20.25,0.118644068,0.983333333,0.016666667,0,0,0,1,0,1,1,1,1,1,1,0,0
616221350,1,20.74074074,0.052631579,0.982758621,0.017241379,0,0,1,0,1,1,0,1,1,0,0,0,1
616221404,1,28.14285714,0.085106383,0.979166667,0.020833333,0,0,0,1,1,0,0,1,1,1,1,1,1
616221593,1,24.625,0.095238095,0.984375,0.015625,0,0,0,0,0,0,1,1,1,1,0,0,0
616221623,1,23.56521739,0.053571429,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
616221632,1,22.07142857,0.115384615,0.981132075,0.018867925,0,0,1,0,0,0,0,1,0,0,1,0,1
616221752,1,26.95454545,0.072463768,0.932432432,0.067567568,0,1,0,0,1,1,0,1,0,1,1,0,0
616221758,1,23.20833333,0.040816327,0.98,0.02,0,0,0,1,1,0,0,0,0,0,1,0,1
616221794,1,38.76923077,0.08,0.980392157,0.019607843,0,0,0,0,1,1,0,1,0,1,1,0,1
616221926,1,22.17391304,0,0.977777778,0.022222222,0,0,0,0,1,1,1,1,0,0,1,1,0
616222001,1,25.10714286,0.090909091,0.977777778,0.022222222,0,0,0,1,0,1,1,0,0,1,0,0,0
616222051,1,28.96153846,0.027027027,0.948717949,0.051282051,0,0,0,0,0,1,1,0,1,0,1,1,1
616222118,1,16.42857143,0.056603774,0.963636364,0.036363636,0,0,0,1,1,0,1,1,0,0,1,0,1
616222247,1,21.08,0.055555556,0.923076923,0.076923077,0,1,0,1,0,1,0,1,0,0,1,1,0
616222397,1,20.40740741,0.015625,0.984615385,0.015384615,0,0,0,0,1,1,1,0,1,1,0,0,1
616222607,1,26.80952381,0.047619048,0.954545455,0.045454545,0,0,1,0,1,1,1,1,1,0,0,0,1
616222681,1,24.08333333,0.051724138,0.966666667,0.033333333,0,1,0,1,1,0,0,1,0,1,1,1,0
616222720,1,21.10344828,0.036363636,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1
616222768,1,24.61538462,0.03125,0.984615385,0.015384615,0,0,0,0,1,1,1,1,0,0,1,1,0
616222814,1,32.52941176,0.086956522,0.978723404,0.021276596,0,0,0,0,1,1,0,1,0,1,1,1,0
616222831,1,28.54166667,0.061538462,0.970149254,0.029850746,0,0,0,1,1,1,0,1,0,0,1,0,0
616222843,1,24.96428571,0.073529412,0.985507246,0.014492754,0,0,0,1,1,1,1,0,1,0,1,0,0
616222864,1,29.47619048,0.070175439,0.966101695,0.033898305,0,0,0,1,1,1,0,1,1,1,0,0,0
616222988,1,34.9375,0.051282051,0.951219512,0.048780488,0,0,0,1,1,1,1,1,0,1,0,0,0
616223065,1,35,0.113207547,0.946428571,0.053571429,0,0,0,0,1,0,1,1,0,1,1,1,0
616223147,1,24.91304348,0.068181818,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0
616223167,1,32.81818182,0.058823529,0.944444444,0.055555556,0,0,0,1,1,1,1,1,0,0,1,0,0
616223195,1,20.30769231,0.058823529,0.980769231,0.019230769,0,0,0,1,1,1,1,1,0,0,1,0,0
616223302,1,26.28,0.035087719,0.966101695,0.033898305,0,0,0,0,1,1,0,0,1,1,1,0,0
616223419,1,27.82608696,0.044117647,0.971428571,0.028571429,0,0,0,0,1,1,1,0,0,1,1,0,0
616223567,1,20.21428571,0.053571429,0.98245614,0.01754386,0,1,0,1,0,1,0,1,0,1,1,0,0
616223591,1,22.26086957,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
616223636,1,26.36363636,0.089285714,0.98245614,0.01754386,0,0,0,1,1,1,0,0,0,1,0,1,0
616223671,1,24,0.02,0.980392157,0.019607843,0,0,0,0,1,1,1,1,0,0,0,0,1
616223692,1,26.70833333,0.054545455,0.846153846,0.153846154,0,0,0,0,1,1,0,1,1,1,0,1,0
616223734,1,18.40740741,0.072727273,0.982142857,0.017857143,0,0,0,0,0,1,1,0,1,1,1,0,1
616223872,1,29.77272727,0.016393443,0.968253968,0.031746032,0,0,0,0,1,0,0,1,0,1,0,1,0
616223887,1,33.88888889,0.046511628,0.914893617,0.085106383,0,0,0,1,1,1,0,0,1,0,1,1,0
616224011,1,21.61538462,0.06779661,0.983333333,0.016666667,0,0,0,0,1,1,1,1,0,1,1,1,0
616224049,1,31.94736842,0.059701493,0.985294118,0.014705882,0,1,0,0,1,0,1,1,0,1,0,0,0
616224076,1,28.88,0.079365079,0.984375,0.015625,0,0,0,0,0,1,0,1,1,0,1,0,1
616224125,1,21.77777778,0.029411765,0.985507246,0.014492754,0,1,0,1,1,1,1,0,0,0,1,0,0
616224133,1,27.96428571,0.083333333,0.983606557,0.016393443,0,0,0,0,0,0,0,1,1,0,0,1,0
616224313,1,21.23076923,0.063829787,0.979166667,0.020833333,0,0,0,0,0,1,1,0,1,1,1,1,0
616224374,1,25.35,0.127659574,0.94,0.06,0,0,1,0,1,1,1,0,0,0,1,0,0
616224547,1,25.14285714,0.074626866,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1
616224637,1,31.25,0.061538462,0.970149254,0.029850746,0,0,0,0,0,1,1,1,1,1,1,0,0
616224676,1,22.66666667,0.071428571,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0
616224700,1,29.05263158,0.134615385,0.962962963,0.037037037,0,0,0,0,1,0,1,0,1,1,0,0,0
616224764,1,25.04347826,0.066666667,0.97826087,0.02173913,0,1,0,0,1,1,0,1,1,1,1,0,0
616224899,1,33.9375,0.133333333,0.97826087,0.02173913,0,0,0,0,0,1,1,1,1,1,0,0,0
616224925,1,23.35714286,0.070175439,0.863636364,0.136363636,0,0,0,0,1,1,0,1,1,1,0,0,0
616224959,1,30.35294118,0.027777778,0.947368421,0.052631579,0,0,1,0,0,1,0,0,0,0,1,0,0
616224988,1,41.23076923,0.073170732,0.976190476,0.023809524,0,1,0,1,0,0,1,1,0,1,0,0,0
616225009,1,24.11538462,0.031746032,0.984375,0.015625,0,1,0,1,1,0,0,0,0,1,1,0,0
616225018,1,27.73913043,0.048387097,0.939393939,0.060606061,0,0,0,1,1,1,1,1,0,0,0,1,0
616225051,1,28.52,0.058823529,0.985507246,0.014492754,0,0,0,0,1,1,0,1,0,1,1,0,1
616225061,1,34,0.109090909,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1
616225156,1,18.28571429,0,0.982142857,0.017857143,0,0,0,0,1,1,0,0,1,0,0,0,1
616225373,1,19.625,0.078431373,0.944444444,0.055555556,0,1,0,1,0,1,0,0,1,0,1,0,1
616225381,1,30.33333333,0.053571429,0.98245614,0.01754386,0,0,0,0,1,1,0,1,1,1,0,0,0
616225411,1,23.32,0.034482759,0.983050847,0.016949153,0,0,0,1,1,1,1,1,0,0,1,1,0
616225472,1,25.61904762,0.032786885,0.983870968,0.016129032,0,0,0,1,0,1,1,1,1,0,1,0,0
616225522,1,35.25,0.017241379,0.983050847,0.016949153,0,0,1,0,1,0,1,1,0,0,1,0,0
616225564,1,22.875,0.058823529,0.980769231,0.019230769,0,1,0,0,1,1,1,0,1,0,1,0,0
616225699,1,55.375,0.023809524,0.954545455,0.045454545,0,1,0,1,1,1,1,1,0,0,1,1,0
616225709,1,27.36842105,0.019607843,0.980769231,0.019230769,0,1,0,0,0,1,0,0,0,1,1,0,0
616225861,1,33.94444444,0.064516129,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
616225891,1,26.4,0.076923077,0.945454545,0.054545455,0,1,0,1,1,1,0,0,1,1,1,0,0
616225900,1,28.61904762,0.073529412,0.985507246,0.014492754,0,0,0,1,1,1,1,1,1,0,1,0,0
616226164,1,39.58823529,0.044776119,0.943661972,0.056338028,0,1,0,1,1,1,0,0,0,1,1,0,0
616226180,1,22.66666667,0.083333333,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1
616226258,1,21.7826087,0.042553191,0.979166667,0.020833333,0,1,0,0,0,1,0,1,1,1,1,0,0
616226398,1,27.63157895,0.076923077,0.981132075,0.018867925,0,0,0,0,1,1,0,1,0,0,1,0,0
616226518,1,29.7,0.052631579,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1
616226519,1,27.15789474,0.022222222,0.957446809,0.042553191,0,0,1,1,1,1,1,0,1,0,1,0,0
616226596,1,18.70967742,0.075757576,0.985074627,0.014925373,0,1,1,0,1,1,0,0,1,0,1,0,0
616227250,1,29.48,0.089552239,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0
616227283,1,19.10714286,0.043478261,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
616227352,1,23.81818182,0.051282051,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
616227397,1,25.27272727,0.071428571,0.949152542,0.050847458,0,0,0,0,1,1,0,0,1,1,1,0,0
616227442,1,24,0.078431373,0.980769231,0.019230769,0,1,0,0,1,0,0,1,0,0,1,1,0
616227469,1,21.8,0.0625,0.941176471,0.058823529,0,0,0,0,1,0,0,1,0,1,1,0,0
616227562,1,25.16666667,0.076923077,0.981132075,0.018867925,0,0,0,0,1,0,1,1,1,0,1,0,1
616227574,1,33.77777778,0.046875,0.984615385,0.015384615,0,0,0,0,0,1,0,1,1,0,0,1,1
616227617,1,24.36363636,0.093023256,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
616227622,1,24.73913043,0.041666667,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
616227842,1,29.11111111,0.071428571,0.976744186,0.023255814,0,0,0,1,1,0,0,0,1,1,1,0,0
616227895,1,25.61904762,0.066666667,0.983606557,0.016393443,0,0,0,0,0,0,1,0,1,1,1,0,1
616227958,1,24.71428571,0.096153846,0.981132075,0.018867925,0,0,0,1,1,0,0,1,0,1,1,0,1
616227970,1,31.17647059,0.086956522,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0
616227982,1,24.31818182,0.125,0.952380952,0.047619048,0,1,1,0,0,1,0,0,0,0,1,1,0
616228012,1,19.76923077,0.022727273,0.977777778,0.022222222,0,0,1,0,1,1,0,1,0,0,1,0,0
616228258,1,34,0.02,0.961538462,0.038461538,0,0,0,1,0,0,0,1,1,1,1,0,0
616228429,1,27.28571429,0.063492063,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0
616228510,1,19.57692308,0.12,0.980392157,0.019607843,0,0,1,0,0,0,1,1,1,1,0,1,0
616228561,1,18.65517241,0.078431373,0.980769231,0.019230769,0,1,0,0,1,1,0,0,0,0,1,0,0
616228655,1,20.30769231,0.018181818,0.982142857,0.017857143,0,0,0,1,1,1,1,0,1,1,1,0,0
616228657,1,28.35,0.06,0.943396226,0.056603774,0,0,0,0,1,0,1,1,1,1,1,0,0
616229068,1,27.85,0.048387097,0.96875,0.03125,0,1,0,1,1,1,0,1,0,1,0,0,0
616229203,1,22.95652174,0.108108108,0.948717949,0.051282051,0,0,0,0,0,0,0,0,1,1,1,0,1
616229272,1,25,0.068965517,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0
616229482,1,19.17857143,0.065217391,0.958333333,0.041666667,0,0,1,0,0,1,0,1,1,1,1,1,0
616229522,1,27.05263158,0.089285714,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
616229738,1,22.08333333,0.090909091,0.977777778,0.022222222,0,0,0,0,1,0,1,1,0,1,0,0,0
616229767,1,46.25,0.072727273,0.982142857,0.017857143,0,0,0,1,1,0,1,1,1,0,1,0,0
616229867,1,34.1875,0.111111111,0.923076923,0.076923077,0,0,0,0,1,1,0,0,0,1,1,1,0
616229977,1,23.69565217,0,0.962264151,0.037735849,0,0,0,0,1,1,0,1,0,0,1,0,0
616230280,1,25.04347826,0.079365079,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
616230346,1,24.8,0.020408163,0.942307692,0.057692308,0,0,0,0,1,0,0,1,1,0,1,0,0
616230356,1,26.14285714,0.05,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
616230368,1,25.91304348,0,0.974358974,0.025641026,0,0,0,1,1,1,0,1,0,0,1,0,0
616230379,1,27.13043478,0.035714286,0.98245614,0.01754386,0,0,0,0,1,1,1,0,1,1,0,0,0
616230458,1,33.8125,0.050847458,0.983333333,0.016666667,0,0,0,0,0,1,0,1,1,1,1,0,0
616230506,1,21.70833333,0.066666667,0.957446809,0.042553191,0,0,1,1,0,1,0,1,0,0,1,1,1
616230529,1,19.13157895,0.071428571,0.918032787,0.081967213,0,0,0,0,1,1,1,1,1,0,1,0,0
616230704,1,22.04166667,0.107142857,0.98245614,0.01754386,0,1,0,0,0,0,1,1,1,0,1,0,0
616230778,1,20.32,0.071428571,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0
616230896,1,32.0625,0.048780488,0.976190476,0.023809524,0,0,1,0,1,1,0,1,0,0,1,1,0
616230997,1,23.82608696,0.058823529,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1
616231067,1,26.52631579,0.066666667,0.957446809,0.042553191,0,0,1,0,1,1,1,0,1,1,1,1,0
616231144,1,20.39130435,0.075,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
616231375,1,28.94444444,0.06557377,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0
616231447,1,25.16666667,0.031746032,0.984375,0.015625,0,0,0,0,1,1,0,0,0,1,0,0,0
616231544,1,28.28,0.086206897,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
616231558,1,21.375,0.150943396,0.981481481,0.018518519,0,1,0,0,1,1,0,1,0,0,1,1,0
616231564,1,28.36842105,0.105263158,0.926829268,0.073170732,0,0,0,0,1,1,1,0,1,0,0,1,1
616231565,1,36.07142857,0.019230769,0.981132075,0.018867925,0,0,0,0,0,1,0,1,1,0,1,1,0
616231585,1,28.16666667,0.111111111,0.97826087,0.02173913,0,1,0,0,1,0,1,1,0,0,1,0,1
616231654,1,32.94117647,0.191489362,0.979166667,0.020833333,0,0,0,1,1,1,0,1,1,1,1,1,1
616231691,1,18.25,0.04,0.961538462,0.038461538,0,0,0,1,1,0,0,0,0,1,0,0,0
616231795,1,25.36363636,0.073170732,0.931818182,0.068181818,0,0,0,0,1,1,1,1,1,1,1,0,0
616232053,1,24.03703704,0.087719298,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0
616232251,1,22.91666667,0.033333333,0.967741935,0.032258065,0,0,0,0,1,0,0,1,1,0,1,0,0
616232257,1,24.57142857,0.069767442,0.955555556,0.044444444,0,0,0,0,1,0,0,1,0,0,1,0,0
616232503,1,24.71428571,0.040816327,0.960784314,0.039215686,0,0,0,0,1,0,1,1,0,0,1,0,1
