userid,screenname,follower,friend
'1019347302207586304,EmojiGenderBot,84,0
'983833196092674048,FPAdventuresBot,110,1
'701470099090358276,tiny_bus_stop,2115,45
'824365984265945098,DoSomethingBot,53,38
'3976196781,rfcdujour,1052,3715
'2782795854,SinebrychoffBot,132,46
'878681247643561988,BotReylo,81,0
'839510308368547840,forestgen,35,1
'3293810833,___graveyard,41,4
'873756899048431616,BikeDTLABot,23,20
'3357708868,i_luv_recipes,137,0
'879035984758919171,BotBaum,33,0
'417105600,pata_amiga,37,61
'823346733367193600,TwinPeaksBot,243,29
'1099727648471871490,yearProgressHeb,1,2
'901140630990196738,BRTLSTvsTRNGLFY,44,1
'867112375408889856,gimmeapc,1045,80
'1060455505683009536,ReadMeLikeABot,111,21
'1056941019462336513,BotMondrian,43,3
'907841910852681728,WikihowDreams,783,1
'731842769724026885,happy_botday,159,46
'969125020269268992,tinygeom,64,6
'4217071294,dayofweek_bot,12,1
'781568006451105792,selfportraitexe,62,0
'908035119293886464,metropologeny,4180,3
'979056531508482048,Littlelandscap2,8,1
'987576114011885570,weight_not_want,4,0
'977870673195479040,MuseumGenerator,3424,1
'2513859613,GenerateACat,2371,6
'774782471703494656,IedereenKevin,26,1
'794513135243759617,AwfulEmoji,33,0
'897157404760125444,JSLibGenerator,193,1
'1044520167173214208,dynamicportrai1,2,13
'910132058709725184,happyendingbot,140,2
'980223140574806017,ASCIIGalaxy,20,1
'717833223066238977,ItIsYourData,91,1
'4165861634,assortedfiles,153,2
'814709364665843717,autoarspoetica,18,1
'703220164305788928,emojiatlas,1223,2
'883696210200190976,HaikuNewsBot,20,1
'3299611091,emojitoemoji,90,1
'761310873088581633,fishyglyph,58,119
'3352995195,space_stories,981,49
'862664931174477825,50hexofgrey,10,0
'1616046954,everyarabicword,80039,4
'885441394973835264,shakyinsultbot,37,0
'2540754536,porcadapalabra,1786,7
'3905389063,bot_ideas,466,0
'868614565604376576,paintergoblin,420,1628
'911171572626534400,dailyglacier,1142,149
'2831214083,EveryFinnishNo,196,0
'3376432899,all_in_cards,342,1
'925788895295492096,StoryPremiseBot,62,0
'3885696215,lovetheseas,169,5
'4041359188,needsref,589,0
'883079678906572806,LinkArchiver,6857,7805
'3957192304,buoypix,195,1
'1069375476622344192,furniture_gen,24,1
'1088222072944377861,LetsPlayTrivia,99,86
'714131965318828032,tinypoemgen,47,0
'909995616109023233,arrrrdoubloons,2,2
'977195233610956800,DumbHolidays,4,0
'2327639124,nixibot,266,44
'2521612514,endingsummary,1068,5
'924991637041958912,costumebot,17,34
'794370478693433344,tiny_mssn_ctrl,3789,1
'911664210614083584,thetinySAURS,159,3
'4518999021,shakethatbrass2,7,6
'959045975821160448,soundesignquery,25,0
'884041170351001601,personaIitea,271,2
'1004613106796859392,wavy_bgs,325,1
'3901064081,pls_take_breaks,558,4
'793595267870289920,sleeps_xmas,7,0
'873611080639160320,DailyDesiderata,15,20
'922095066,okay_campers,4,0
'1081252104742756352,ANWarriorBot,17,0
'1083574886071762944,PatternRandom,43,2
'828743942380384256,trumpbans,2,0
'2990633947,AndromedaBot,6324,0
'2873849441,starnearyou,108,1
'908900120934133761,thelockbot,17,0
'714080836916756481,spiraesthetic,175,1
'2878888502,TinyCrossword,161,1
'913903898854871041,hometapingkills,7,0
'906038791697289216,paintingwmusic,67,0
'1093183092049760256,RedwallFeasts,1445,0
'749664459321466880,headsandwings,25,9
'4889216037,saysthekremlin,64,0
'1038892795975614466,diehard_1988,7,0
'1096369890234122241,BotZodiac,13,2
'809090202371325952,allTheTyping,95,2
'793930743667908613,coldteabot,22,0
'884702335552937984,openbenches,529,552
'865796799172407296,an_entire_movie,11,0
'962614275343900673,joinmycause,9,1
'3892750959,Deutsch_Falsch,199,0
'735640767750930433,TonightWeBot,30,2
'978126616202117120,osxthemes,191,0
'856940210705362944,ActSciBot,12,1
'804620920119771136,Emojiforest,209,1
'4742568924,DayFingrAuslan,80,1
'2216213125,greatartbot,4793,0
'735851945865404416,graphmosphere,35,1
'3226543356,infinitedeserts,12334,102
'703005412610678784,softlandscapes,20916,1
'4690010330,365sparkles,55,0
'1020857489569566720,glitch80bot,260,0
'1917328862,SmoothUnicode,674,1
'1047560686489014273,fearwantbot,17,0
'3219645732,pomological,15301,5
'1005241624161652736,botcocktails,435,21
'935758766066331648,OrbitOrbot,7,0
'3286544840,FrontPageBot,32,0
'845125396714610690,minimazesolver,72,0
'798291670475231232,CheapBits,23,1
'852039978569801729,spaceoverlord,22,1
'967502824333393920,goldenhourSEA,1744,8
'969284050178453506,birdbot4,60,2
'976496018895310848,FOIAFeed,6723,1
'876135649727873024,some_new_cities,516,1
'783819741127446528,ImprovChallenge,68,114
'4002930083,11_11_bot,60,2
'3609624197,MMecharin,71,2
'4874838393,corporabrackets,116,2
'3238422218,Slam140,1829,2447
'889859060048252928,thehoroscopebot,85,4
'975628593568022528,gallet_city,110,0
'2870426806,BotSchmot,196,47
'958090218921279488,happyhappydb,384,1
'1107378463114227712,megacities1,5,0
'1069875231924338688,winthroplaundry,2,1
'978879850856505345,BracketMemeBot,1171,1
'996440034290094081,DRyderNicknames,12,12
'4438807636,HiRISEBot,1347,2
'896898553985064961,texasflags,6,3
'2566358196,godtributes,27038,10776
'990623965,rightnowbbcr1,153,13
'859012626487009280,botshopecash,29,0
'4418748136,mass_shoot_bot,192,46
'802014959106400256,ManyShirts,23,0
'4588875447,bon_appetiny,1829,1
'912104726770049025,start_this_up,94,12
'940014388970373120,botdoesnot,7,0
'20959226,ThesaurusGame,2883,3934
'702210829966516225,unchartedatlas,15794,4
'864532106336235521,JeuDuDicoBot,700,1
'906606599094935552,CityDescriber,4463,1
'987218775303835648,InstallingJava,5,1
'798042945374949376,tinyspires,2170,0
'4122247827,licensemee,24,5
'1056301519455301632,trendingpalette,16,0
'1031621147782205440,FlagsFalse,11,5
'3305536529,dungeon_junk,2599,120
'4919025952,thereisnoiin,54,3
'738330734310522880,BowBowoof,136,128
'807562414380249088,EmojiLoveBot,57,162
'888416710881103873,GOT_a_theory,8,0
'799247194121502720,happymoonbot,24,2
'867295236904464384,AntipodeBot,47,1
'836897939461144577,bankedits,1465,39
'882762258157371392,WhyBeBot,36,0
'3836777681,nhcbot,97,2
'936679824017440768,Y_Under_YBot,22,1
'918073104915746817,Emojimuseet,125,2
'912277178343149570,GameDesignXpert,84,3
'1447948944,autoRNG,35,50
'981755559195086848,astrology_bot,36,2
'4531666948,everylotnyc,2476,4
'1118951206448181248,Sunlight_Bot,5,0
'4638992359,ebooks_goetia,6650,5
'824443952983977984,256farben,102,3
'854803551247269888,PrettyBirdsBot,75,1
'873057024740777985,earthin24,279,1
'772315241212325888,tinyskylines,225,0
'881688089164259328,kramer_v_trump,18,63
'848131286526959617,BotEquippedWith,12632,0
'940176812692340736,thedoomclock,1408,1
'746764686000033792,emojiUSA,18,1
'709095415401021440,particlemanbot,12,0
'792036071819403264,ruestungshaul,58,203
'883418382988718082,LikeBotLove,16,0
'932049341862240256,winampskins,2426,2
'876627031030738944,xenolexica,22,3
'747051374404206592,bot_the_dickens,40,0
'879263611100815360,vexilloherald,20,0
'831578789654192129,_OutToSea_,715,24
'2216299843,oliviataters,6543,5164
'772264497453170688,TorfsBot,865,2
'4185208692,on_this_day_bot,84,1
'3254282218,FoleyArtists,1400,6
'1030875249691303938,folkloricbot,28,0
'723846764969791488,randomeditation,48,2
'4765089989,one_small_bot,70,1
'964559013991059458,beetlesbot,250,3
'1015186749755142144,tinylittlehomes,66,0
'811226108133834752,XYZPunk,114,0
'795119952156065792,tiny_street,317,3
'989558064834580481,botinthewoods,615,0
'4175004913,HypernymBot,96,1
'2812070407,VergleichBot,19,0
'883335166202130433,MasksAndHats,14,97
'4092326421,menubot,639,46
'781941661848875008,2fistedstories,599,557
'2668592653,LSystemBot,2524,0
'1004526221429039110,bedbugbot,31,75
'921692600544972800,mazeaday,10724,11762
'1912617043,_primes_,13038,1
'2871186250,alltheminutes,755,1
'873103406008745984,howmanybigmacs,19,0
'785939475775893504,BingoBits,8,5
'3772896857,wayback_exe,11590,1
'771413200210391040,ArpObservatory,100,1
'2221811233,SynonymSpectra,64,6
'1080980613925036032,bot_enough,7,0
'1046048297008484353,MadcoilA,16,8
'779417371282776064,wildflowersbot,837,0
'713868637430386688,NanceBot,182,1
'912631752853770240,glitchdemon,1356,201
'19863141,cdarwin,23902,534
'830638884,thetrumpwatcher,1836,1
'2963664205,civicissues,82,27
'1083330945506308098,tarojibot,32,0
'1095770039939145730,BotClassroom,2,0
'4010618585,dscovr_epic,21962,4
'4867178585,DailyPatent,40,1
'1101849622073491456,schmuckbot,10,68
'1004765905228845058,littlebubbot,51,1
'776560781198405632,arguetron,2905,18
'822542798486466561,FederalistBot,5,10
'878678015349329921,nailpolishbot,435,1
'851714375052398592,anappleadaybot,16,0
'998179899285352448,fakefantas,6307,1
'3439078101,BraffPatterns,87,2
'784162498228457473,whatkilledme,9,10
'897666750640029697,DaysTillFallBot,46,2
'982793656452071425,potus_in_parens,142,2
'959311521082834944,lovelivesbot,269,135
'3783512423,DeuxTitres,1545,1
'860979772016427008,rhymerobot,15,3
'856984747473547265,Strange_Museum,34,1
'732388048659349504,stellaraquaria,60,0
'980236476695961601,SandpileArtBot,25,2
'244714086,digitisethedawn,184,134
'786988812312449024,Diaeresis_OTPs,17,0
'1098368635666657281,WikipediaDelete,14,1
'2635257950,WikipediaBits,893,2
'4204895289,gov2dotOH,108,32
'1094153152389992449,RoadTripBot_,44,0
'918609526357499905,iamaslowtrain,99,19
'955523229875081221,VitaVirginiaBot,7583,1
'938543009167216641,kaffee_reminder,7,2
'4196237301,Kaleidopix,202,3
'4180417402,ahouseofdust,212,42
'706568743472619520,lycanthrobot,78,2
'763724066419249152,BrutalistEngine,108,26
'898575243308015618,NeonaziWallets,2545,12
'781683859440173056,eecummings_bot,723,0
'787405734442958848,best_in_dumbest,1115,4
'903140108177735680,Colourjams,570,368
'3317221923,future_junk,1751,45
'3041716769,BostonSnowbot,75,2
'3045203078,colorschemez,57419,0
'901945930890395648,WikiPhotoFight,34,4
'563838090,HundredZeros,4996,6
'905443664935231488,Datasaurs,613,2
'793718418759299072,functionalemoji,88,0
'1084113207298584579,ROB0TIUS,1602,1
'1093191691543171074,helloworld__bot,14,2
'2290204512,TatsIllustrated,208,2
'2414191657,PermitBot,458,1
'1028142835059417088,30minutemix,34,0
'724804317748797440,chernobylstatus,35504,0
'858057559839830016,daft_stars,77,3
'3249072386,BotCarrion,318,0
'889229094273126400,insectsbot,62,0
'4584564195,tiny_gardens,6818,1
'845084446617485312,some_flags,80,0
'863159091681792000,NlProverbs,9,0
'3130589637,alleverleser,12,0
'843891310444593153,CarloMarxBot,57,38
'708252658642120704,lettergamebot,8,0
'786284811212075010,dailyoblo,32,1
'995026002089840641,bot_abandoned,16,0
'1043624209249984512,PixelMonsterBot,11,1
'802292461754138624,SecretHistBot,24,1
'1041656941536133120,100Aux,8,0
'3291286474,kaikkisanat,2440,94
'1120973992754581509,1reasontogo,18,0
'3052317647,sixworderbot,392,16
'2292415658,ip2location,669,427
'911169818224623617,Bartlebythebot,22,0
'957391562043895808,cavern_caravan,83,1
'862610528711188480,Lightbothouse,45,168
'1011692391961714688,botribunal,245,0
'895426242345873408,Clipart1994bot,13255,0
'708394182595883008,hashfacade,263,0
'878827007433375744,collationBot,315,1
'719279888054816768,differencebot,587,1
'805427276628295681,astrobot3000,7,3
'808571456237936640,UnicodeParade,27,4
'3237862444,ESBcolor,2644,1
'4189915529,instruction_bot,188,1
'964169855300718593,last100bills,2,0
'798485343162998784,tendollarfive,2,0
'3028811206,RandomColorGen,94,2
'917093133879578624,cityatnightbot,61,5
'3882352332,ChuckieNorrisie,60,0
'2907774137,archillect,1342549,1
'4594744821,ImagesDArtBot,283,41
'2778190296,AteneumBot,175,46
'846833319123791873,fadedfotos,4,0
'746015690507837441,trafficgifs,321,1
'1114680860983214081,_valley_sunset_,12,1
'736041231793295361,smilevector,920,3
'946205176867803136,beerlabelbot,158,0
'2363777570,JustDiedBot,2418,243
'981910124536172545,firici_vici,274,311
'1249693405,DearAssistant,4527,0
'924253994364567552,bitsofsaturn,3230,6
'41681878,researchinator,81,42
'770811917535510532,FermiPasteladox,400,0
'3378113121,holidaybot4000,72,1
'968152918229770240,AmznTurkerHappy,11,0
'1059567421894418433,gendercakes,293,0
'4406413835,metalband_exe,3607,2
'860246681320923137,realtimebus,453,1
'306238322,resenhabot,485,10
'4293630612,BennyNumbers,52,55
'929038210902253569,DadaistTwit,8,0
'817297257959747585,brokenpatterns,62,11
'996399422601916418,CWF_Forecast,185,4
'3774669559,everyportland,14,0
'714541415942987776,BMovieGenerator,120,3
'923366953007435782,markovgilmore,11,0
'823217342,fiwotd,358,63
'984794988964917249,AdjectiveInCity,14,1
'2431008924,MancOrchSays,67,6
'3342186154,civ5_jobs,66,0
'735185696030359557,arslongvitabrev,57,1
'791088166593626113,partyblowup,19,0
'720565696187510785,NuclearTrains,412,35
'4765790730,GraphicScoreBot,813,1
'1048608762683117568,latinonamebot,3,0
'892636269641175040,all_the_planets,39,0
'968220410797023233,BContestants,16,3
'815575797461295108,busyadvice,28,1
'916340701587177472,deltron_f,11,0
'747833144124964864,officefridgebot,17,156
'737053872007434240,JoyOfBotRoss,812,1
'720558462959267841,ablankblank,173,2
'4739316433,TinyAdv,516,0
'841604595096965120,btcsupply,294,2
'863475585095479298,actual_ransom,6597,0
'924479079365185536,extracapitalism,31,1
'1109778441379950592,color_parrot,233,1
'1030830288761438210,visualrecordbot,44,1
'2800569835,FlagFacts,664,3
'952035808063688709,CryptoNamer,52,11
'4706049494,someboxes,11,0
'708759570319953920,vroom_vroom_bot,33,4
'863270435760160769,mesmerinion,29,0
'1017524564698566656,MuskSolutions,18,1
'982493449286029312,TilingBot,3141,1
'3317501195,rightnowbbcr2,13,4
'3231781692,tweegeemee,1112,1188
'3300777107,petitsmotifs,1263,3
'3245226532,NixieBot,1708,5
'4745869775,tiny_forests,5154,1
'3091637939,BaanaCounter,562,84
'915284281311875074,PaintNames,1068,4
'2148047569,artassignbot,4533,2
'1033697430276108288,AAAAAAAStudents,137,0
'848869231382978560,emojiastro,239,2
'2782796420,KiasmaBot,192,46
'1067527987531268097,notyourbot1,36,0
'715601141749387264,AlmostAmends,13,0
'960538579993878529,ConceptNetPoet,343,1
'805362305777053698,_ku_bot,23,3
'4097400133,wrongquotebot,29,2
'857148734811123713,showoff_ebooks,37,3
'1006982562605076480,SnailFact,65,0
'911651904828116992,RollDiceBot,164,5
'1021686556472565762,botifyouagree,23,0
'4809840647,usinjuries,8551,0
'820137588430372866,SVUFutureDrugs,1566,16
'4810350176,GoOutsideBot,8,0
'4187564112,ObliqueBot,1867,0
'1021082022771658753,1StarLandmarks,8,0
'964842572605743107,78_bands,4,1
'917159386015043584,okbabynames,11,2
'854666940375339008,tinyisles,248,2
'2821123457,HelCityNews,291,19
'3287381226,UnrealBritain,6,0
'957420619494240257,genrenator,13,0
'869420811068649472,catalog_drowsy,11,0
'1162875732,trendbot,523,0
'1091908795972734976,new_fruits,279,2
'968442791994019841,emojitracks,24,0
'4450509553,FixmeBot,167,30
'868946203421138945,proverbsbot,10,5
'3369559252,DeepDreamThis,1092,2
'881272940184178696,relax__bot,10,0
'88741673,Hitch_Haiku,34,6
'3091533046,nondenotative,1214,5
'904370874492518401,folderisempty,22,0
'703135557707149316,famousduos,172,37
'2558895162,riverlevel_1867,20,3
'4452810929,donorschamps,2253,2
'1007691669842677760,pollockdotexe,36,1
'1054180180292440064,BotQuilt,77,2
'773015340636708864,fallingleafbot,30,0
'834162521699393537,computerzooom,8,0
'1099737526686937088,lighthousewiki,24,0
'4536190039,WhosThatPokebot,121,1
'3337061638,YouLookNiceBot,1418,1640
'925657497238507520,nonogram_bot,14,1
'772202703212703744,clitoscope,186,15
'709947590268157952,TinyDungeons,406,1
'993674729830612992,BotConnectFour,11,1
'971203153269018624,faketmglyrics,55,1
