userid,screenname,follower,friend
'390688143,LinnFreij,15,152
'3131508821,alialliex,2,0
'753269345661415424,Awwmeow1,16,155
'632268405,demianratt,70,296
'771980538840309760,JPWund,46,573
'36741090,HeckTech,46,0
'710918817,CzegleViki,8,63
'735541896,chmoutsi,38,156
'310209342,tommikana,11,131
'713060241,alisherkhanD,32,0
'2173621242,OnlineFinNews,11,0
'748353354,185795835,9,0
'537465226,MirjetaKastrati,9,0
'910765934,zen_daniela,35,424
'514871157,JNicolasVP,53,0
'786364151283130368,tangweifengo,4,0
'231292291,bj_klint,49,341
'528124251,iam_zeromi,5,0
'490857491,mirgirlz,46,0
'567067678,MattDwyer2,33,0
'417969827,ChanYouJin,10,0
'3007194913,Jampagne5,108,0
'955563768863436800,shirif14,17,0
'59035838,seoulinvest,75,526
'320727617,tkosjr,11,140
'4366463960,dnfyong787,15,0
'3132862608,Leoooool,13,2
'294131609,inshalla84,20,150
'185000398,foumfy,16,53
'194072536,antothebest90,12,0
'1553418884,giovann97939476,54,358
'1673778876,AleBasile17,25,0
'599063922,manavisharma123,20,147
'198355811,brunekafraga,39,0
'266191621,ayour68,12,3
'797209146,kara2855,14,14
'418169143,aliceepenniall,69,404
'2273769613,weilinwen,12,52
'249537588,ywcho18,12,66
'4887880361,madOSCAR1,56,0
'1435152751,108044,35,127
'920605141807403008,CCumi22,127,907
'321078346,satgilchima,4,4
'365835667,lloydarthur85,5,0
'382599454,yongfarril,7,0
'1341642734,rorodeloos,10,0
'959066282397024257,GloOk17,50,305
'1234077474,Liam1005409348,30,0
'2232220110,yougyunhoa,20,109
'226590168,Mmep740,6,0
'222388530,Spar82,67,362
'390416512,raichle7,28,0
'626902015,miniojag,62,0
'956175017489739777,Hh93572285,5,0
'1860657096,L0rdG4m3r_01,8,58
'2184510206,jks747878,39,1754
'239860935,JadenSmithFan12,4,0
'702829258368950274,Franco_daliwa7,24,130
'729853332,ayuhartini3,7,0
'2451761215,orderisDNB,36,234
'65951872,Anekthai,59,322
'261786906,Maareikii,5,0
'489963729,alwls5629,13,0
'3086542508,Lisa_Campino,52,0
'3021785479,49843836Wang,16,154
'1296566894,NizarLgend1,11,0
'2981952074,3PYBGBFhSBAJ75q,11,63
'419172558,KamboKid,60,0
'103884005,jocelio_leal,25,172
'168089914,bubbles1136,31,0
'788387064773476352,Hey735272020,13,0
'1219177242,49650367,17,84
'1180249602,ComunicaUNJBG,44,43
'227352218,yekitalalokitaa,92,0
'2457864733,vacuumelectrica,7,0
'359076839,woogiebuttgirl,30,0
'433191529,65bike,12,0
'1300964412,BonitaMonis897,16,0
'433019551,ilr0933315628,28,3
'311405879,DushiRanatunga,39,210
'379976354,AlazawyYasser,16,0
'449460717,s6413178,22,233
'2703918912,DontPushMid,13,0
'774419611,samili0323,13,49
'1026374095,Popkura,17,54
'514729294,joelvalenzuel12,39,236
'395436301,Sonafarracom,16,141
'497256902,bryanochoa5,11,105
'626179337,BarrigaMend,27,228
'2573068447,DentBuekly,11,95
'716126905,crabblack2,5,3
'456301800,vpeter14,27,0
'241830194,luckymuzi,28,168
'2389479032,carolin09892340,6,18
'2373832604,kai78724,13,0
'191978073,garbi16,28,247
'721569405868445696,h1n119971,4,30
'62530516,DavidKodet,45,0
'1325299098,jonathandbutts,83,711
'816704354434433024,Nevon_J,24,195
'290107624,downieflid,31,0
'832603948422950912,JoRyLe713,53,0
'469658213,Mjbagofhoes,40,387
'209808279,marty5900,15,64
'1046696936,JaredP12,46,0
'3503562922,cxddongxi,27,145
'2949429797,SebekGiwera,4,39
'152549651,remy_chin,10,161
'1231568676,YijieM,11,113
'261420590,HadeerSH,34,0
'517268035,JendaMarz,22,204
'2894710828,AnthonyLoDs,1,10
'2351239065,MISHKHANIAN,3,63
'444181035,RickyTx,14,103
'3056391913,JoieJoiew,24,0
'188634935,skebu66,35,765
'179758443,kyo1516,79,161
'952919833896738816,HoLLy_CS,48,0
'2937150331,superteapoy,35,0
'435573694,musicbeibei,34,160
'721711910,dyhfq,5,76
'505867678,andy880104,42,337
'737903247176925189,Boutte06,29,265
'249417015,kkkk98,34,0
'1516426242,ValdeniVLNR,50,462
'487096099,OFPSrbija,45,391
'593010790,ResgateF1,34,284
'2389555933,yuukimarukun,20,63
'939877967852949504,WVUBagelCrust,248,293
'368344319,silsstw,11,0
'312595419,loktonglei,1,0
'491899684,DianeKennet,27,66
'715886383857016832,mogoraf,28,0
'114248927,gabrielematheus,10,2
'67608340,AndryTeh,208,312
'825003343315599368,CWweldingdorset,18,26
'1673646914,mootaz00753035,62,667
'255443387,hamodaladal,3,0
'593963654,r5258,3,0
'608237860,nicksont512,15,167
'2736665530,948374395,17,96
'914301806045515777,KaReYLuVsLeeLa,21,97
'775968649,finneer2,24,209
'144138510,caojunwei,18,19
'2599347186,SOMGYULA1,29,233
'955250365330464768,RichardWolfson2,13,0
'2784913999,39339272,33,0
'153412198,LaurixCouryB,15,118
'2264113109,fangdikat,15,2
'951265616513654785,GrigsbyLane,21,0
'946349521700827136,deneyris04,1,0
'2986577246,ExalonGaming,325,1216
'1707998582,marrisnunu,35,84
'485918962,ettohken,55,574
'194475383,ddaimiry,53,473
'62313363,adamstein37,27,138
'2727333420,BeersMarie,14,0
'2571612899,tobyjohnson159,61,739
'1089220854,aesiamabeth,14,2
'2752202700,cyimomo,18,0
'287685814,alikemilans,1,0
'309802175,Wandee45,14,0
'157364868,woojiyeon,46,271
'45322148,linda_de_jong,69,0
'2711831942,RiverBednark,11,90
'392694571,govudaus,8,0
'1972149295,lanang3714,10,2
'734266200650186752,annabel_pender,4,20
'2292042294,CitlaliMoonsun,8,4
'568554242,StoutCallum,18,149
'2427522172,uhrinorsolya,3,0
'2194787749,DarikPawlak,61,423
'513021981,_1615929836591,118,804
'481986112,lucapiscitello,6,0
'1122132756,malashencko,4,59
'1049510720,naochin391,10,38
'2578925064,ousawakou,13,88
'196869418,anoki0530,176,1143
'1572762673,ixemaria_dani,18,0
'804692976,Real_Utari88,76,0
'562771928,tngskr,9,133
'738092606,jsw6900,32,0
'201937982,shin_math,31,0
'436508644,tauyatswala,9,1
'532389306,francescavallin,39,218
'932549659,renallen27,5,6
'1629952610,DonnyMistarz,70,392
'2188328718,Zoukiiiiii,133,826
'636200806,smickensbgchc,13,0
'170241204,Mukesh_M_G,25,197
'47134156,shannen01,38,0
'1299763554,ForraiZsanett,3,4
'1018621795,tiffanysfunk,21,15
'754029101204111361,mengg1717,12,183
'1405143428,Qq290757401,26,0
'1372337708,RadimTrabat,61,0
'2706538472,beckspink37,62,140
'463105578,emesegreece,15,79
'1371797815,annike840705,16,0
'2758588728,hemchandrae,11,153
'2293449709,nighthawkjt1,14,135
'2882478637,suisa_exvsfb,12,0
'740966924,okkiazzurri_64,34,0
'470710800,43520322,23,0
'444829284,83Christ,3,0
'269523309,chokkoandjules,29,0
'563656978,ciccho88,22,0
'1142387352,823747518,12,0
'736063357,zatynero99,32,0
'240251486,sarahk_,102,420
'1099868900,SunitaAmaralikh,11,114
'115078828,jyi0226,9,0
'2778787139,huangxiaoyuan,32,365
'2868718013,ZiggiZiggy84,15,112
'402768761,marcelofernan82,66,662
'825502693,johanntommybhm,12,16
'389389288,mhyttrtl,13,0
'819504296,kis030625,10,0
'581452722,BradenHarrison1,96,0
'307514131,jalalhicham,6,0
'1315351519,ChangAi35,25,0
'2635005237,aseagle37,32,199
'566364899,YLs_Doris,12,2
'754798015592984576,notnowmaybelatr,75,0
'1210874142,thshah103,21,220
'449267292,62118Marie,26,289
'28334035,LongfellowPTA,314,7
'2831653471,erbirales,60,0
'258781368,ansgodud717,57,0
'2421091770,LucasSafado19,60,592
'1729920648,mrtcn_ozn,128,103
'44297948,banginnngggz,25,216
'83762160,jurik_asbun,93,0
'613819778,user1417169,37,0
'2845549977,ozmgkc0609,56,183
'876102516139864064,PBSSportsArabia,30,0
'618165347,0815lhy,83,545
'2942259399,Ismaaael10,16,0
'827792388,GabiManley,32,0
'2752600414,yoshidog417,38,232
'127373913,cash_flow__,12,0
'607204982,stenarra,7,0
'373775375,ocannbalisman,5,0
'39090225,JUST1GEO,20,20
'108513845,JovannTan,1,0
'377204420,JACK_GOBI,9,0
'309713098,jeo81,9,69
'861918821665443842,vQCvxBNcPJ43fvI,20,0
'2958263318,basilwalkerr,2,0
'2818766739,ChocChen0,7,0
'2284425432,Alex_shengsheng,5,69
'302210308,CarolineLima11,18,0
'961730419,McGayGay,17,124
'277130339,epicclosets,49,0
'2766878890,Nickbangi,5,0
'1858022815,cmjenkins4,18,79
'1329443460,DJOGO3,46,407
'512788849,lijun198456,12,146
'826375531406913536,Mystical_Cha,3,14
'1318936740,y5nyldrm0,30,0
'2455299937,joeychiao,9,31
'353155419,steven9504,3,77
'2492509598,wz055,7,0
'1192529832,kor___GH,6,7
'29955228,latinasondesign,453,471
'2218132473,terzi_francesco,147,872
'3400833989,IAMMANGOBOT,48,0
'432287562,imi81imi81,36,137
'2408452256,hsinyisia,47,0
'118856934,FranGHDdeV,52,0
'1045865894,kit19960906,16,440
'2777653038,PenthipB,14,135
'192927401,lschwark,38,328
'1513564813,BungspecialsBE,9,0
'183240667,AidaGriffin,116,712
'4824471521,Longeeeeeer,7,3
'629915272,QuadingKING,28,132
'494311464,Zackmatters,197,0
'516315537,saidabastri1,64,626
'1858039446,dms1294,44,143
'290619920,Tenore90,258,0
'196644690,Jedwards_Brush,21,0
'4445737636,iz_JSh,12,133
'138234848,nhuann,43,423
'3513565036,xKageEddie,23,0
'501966442,cantrecephillip,75,0
'2419118371,99yahkim99,11,3
'732809732,SuCaTim,47,0
'509711057,BolDauBol09,5,0
'3389852593,itsbrett17,21,0
'942895823880323073,Thomas27565546,5,0
'492735649,jasminecarlin1,8,0
'817681792291524614,najeebjan14359,25,204
'2712179076,zhuangyilin,16,0
'392088196,LMommens,5,0
'1119490692,Senaenr,59,0
'838318603,thiscriss1,11,0
'1642548144,sswds77,13,176
'376489350,cheikhdabo,48,554
'67008412,xalfa,1,0
'2858029105,NellyYangda,13,0
'2728815152,fghysey,1,0
'305129537,OiSkaR,16,0
'2548932854,sun17vicent,32,0
'1650660499,manyika11,7,0
'2884673774,swoogo,510,1321
'150865676,joseroberts,18,0
'2342666584,Emmyd777,3,40
'4776279438,ygoKlUb8s0KRqvB,37,256
'2331531444,GrassMonkeysUK,45,304
'1480430168,95Bibil,42,124
'507478723,SINISA05121985,17,68
'2391423253,Dranilo1,32,324
'441313407,hbe0827,7,51
'1200000133,Bedp0tat0,18,136
'203124866,zizoncesil,28,0
'2194747599,Sinaa_99,25,18
'264208777,ingenierialibre,19,0
'1711800690,chandrisha2,49,0
'240596368,papubino,10,66
'1150038072,MusaNdlovu_,95,404
'1067605393,cmdetk,20,0
'4788990056,fanqiesama961,21,0
'190805827,worgin5,111,411
'755363426038263809,kyleejinx,4,0
'384676040,deepoo576,25,44
'192511003,aiejuedean,0,2
'2576598582,onidipaftry,4,0
'3557640672,cbmedia467,17,0
'2387437526,SzymonNatanek,64,0
'2575957062,jackyhuhuhu,15,97
'1186903207,RobinappleXD,3,10
'498708948,GencYeditepe,460,0
'2777602592,myungkyu1,9,0
'147867513,HLphotos,5,2
'488304517,v_p69033022,27,153
'487759099,forianka,1,0
'123963929,3123123123123,27,133
'20563248,7heprofessor,63,0
'2706329189,245988784,11,30
'4241379027,maomaochong95,41,0
'956234694,Danmsturm,15,0
'484665449,dario_nard,433,1228
'921588885846659073,OneilLilstar222,52,430
'3669870335,ItsDerpyyy,33,162
'1707850064,truk2malad,29,243
'743690130611802112,jixiang0728,32,210
'524602536,ReggNO,198,627
'2431027264,chavelmavie,29,323
'907313689027629057,Gianipp,15,0
'4777176781,masterLuhao,7,0
'751227909424033793,sada7321,66,0
'2272816849,michaellye2,10,0
'1402340671,salihbouafia,6,0
'461324305,dbthom03,40,202
'397904953,WaCrystal,10,0
'2462028560,TakcsMria3,4,10
'3146212439,DetoxFMT,76,196
'2887358929,517177202Li,19,235
'832655808575868930,pxyyy100,1,0
'746442175,sketchydude69,56,329
'2352199796,kemo55667788,31,0
'1124904768,wingsumhehehe,19,0
'2869222017,pellegrino2157,42,0
'866639899,petrasahlstrom,38,289
'2408535328,P4my_90,31,237
'1557536222,IckhwunWizon,3,57
'2159037704,Crazy_1D3,37,191
'944827030150856704,abbyyss2,22,109
'1364544264,wenlin611,39,198
'3019425232,LuckyB__Smith,23,7
'2399894634,PatickHon,16,0
'2805043277,gillianho1994,11,0
'368030925,ra72958,51,0
'1433065046,swwos,13,82
'2289112728,ComEddddddd,3,0
'739352792750522368,8Yyh8yT9jRPdDqp,15,0
'546827148,Tae1205480650,13,107
'262345210,hamilen,52,300
'321390831,LBorak,45,352
'146328381,keroppi9876,68,653
'1005387998,ava_rosse,26,192
'2452467799,ryanpirre8,392,665
'707009414,KittyWelter,79,635
'1896255720,puiyinyau,65,0
'524958076,ksw75,24,141
'579471609,moneisha2,10,0
'555190163,laibmark,15,202
'376769254,qukienns,12,0
'1672093122,djcraicdaddy,106,0
'884899762285273088,ilovegirl666,43,312
'542838534,susannestarex,26,216
'1240511286,cheapoair3,17,77
'384712044,WiranpatJeans,14,0
'99309918,faldsa,52,115
'925274354664972288,iceyfire00111,57,0
'550290128,CsUrog,7,9
'2753280671,fgllanzas,38,0
'971226200,yunyichan,8,68
'1314402198,emilly_rbr13,46,511
'247727767,namgayt,16,0
'2706203803,cindy_yung,17,224
'1731490868,bmiiroy,9,2
'583237493,ricky19860311,5,0
'248499816,gilregina,150,1251
'263150089,Divapablopixelz,75,547
'451820471,Preetaus22,26,129
'869333731,smithaprakash00,28,0
'2489391390,RURU_luxury,14,0
'897889238,YErtmo,0,0
'508885535,CiprianoArments,17,0
'1713190362,BellaTTTTT,30,159
'230779361,beny_injex,28,0
'1475800320,wangsheyun,23,178
'1057560163,JessyNayla_,11,0
'1346005459,HaiweiZhuang,5,0
'1038437628,1951_26,14,0
'806391849489485824,zyaoyang,8,0
'252435854,diansrainy,237,460
'197872978,herstky,37,213
'2806365897,classeVH,19,0
'783350021357830144,Stevenashjordan,15,0
'147070046,jacquelinedlm,50,0
'1171611919,wendy33620089,26,184
'2841116638,OwNeer_99,30,206
'1151825071,laabsch,6,0
'274628437,maucaf,13,95
'2465874207,alessio_talpo,101,665
'717450888,LLilacly131,44,215
'811460632281157632,china_chenqi,14,123
'157909739,destinyglory,68,0
'2493362950,dicaccamo98,51,397
'949263966991036416,deleted66170593,6,73
'2864947318,weier5566,9,0
'356996670,izharaihz,33,2
'936751324984639488,PostOakApt,21,943
'765184410463399936,NwXM9eu4kWQcHwH,2,0
'1633439190,DibeManu,6,0
'953452556,hamamadi1,71,0
'283140358,alexdgt77,15,137
'833589959118368768,pooo_ng,22,161
'2570550607,DrewRamsey13,3,51
'244047421,ibenalmoudjahed,61,541
'2914591259,OHLLRN,487,1716
'2303606569,DashnerKevin,120,1198
'309745399,coco6785,13,93
'1691358925,kevin3681,11,0
'42004991,inyeuheo,4,0
'3109705110,ak1ak17,27,39
'2907315517,krmanish685,91,590
'1175791189,a4b4a,30,133
'971757361,AntKoc1,60,0
'299892702,jmoindro,30,120
'3308368031,disillusio030,16,0
'2232505458,DroughnsEthan,27,155
'886703454,PlutoniumBurger,22,0
'2252764750,letmai,7,22
'2866088603,lau31620,3,0
'946278348,Dinojan144,3,0
'495251124,kitanek001,23,113
'313924635,moviegoer_ZZang,135,0
'1621018424,MOCOeyeless,12,21
'2185919211,Sofiaf_xx,25,104
'3254777705,danny300zx,35,229
'260725519,dddxh,34,185
'1144855028,516Leonxun,19,0
'1382551940,kindystreem,2,0
'2300984620,CupcakeCaty_11,3,0
'1694537238,sddsdentals,3,0
'244942143,rico18200,76,530
'260293143,elfama04,17,29
'480549186,dabitviya10,25,175
'1062132390,Kevinieolin,23,0
'2729743850,poota080,16,107
'2406830406,poulmjensen,6,80
'319533009,greta9814,22,0
'2888024378,alnukdh141,90,526
'717174285,frank_zhaoty,12,0
'555881610,VeronicaIorio2,9,0
'145556292,dahyeday,19,0
'832108436225560576,MichaelBaltrip,21,231
'2831864852,fubuki690,21,0
'2382722455,DariuszJuszczyk,33,129
'3417533555,Angela_sme,10,0
'1225859677,uha0818,2,34
'762507157514309632,yuyuanwq1,11,176
'3006934373,Olga2010Olga,57,466
'2464899086,Beautybykaiyla,67,0
'755693575,DominicanPribe,25,0
'1200487370,golfdoctor4,75,630
'635323670,airitout991,1,0
'274417555,elinmark,10,0
'4776132493,zjasdf,63,0
'348068603,Aderwyn,19,0
'1570887926,OdbytnikSzatana,9,3
'1364880925,ruciEX,12,0
'1014055616,NetyeBeatrix,24,216
'877096374,jacobjmora,60,0
'314459325,guyhsu,152,449
'626978650,zgordon15,7,7
'489205138,nadjaifter,19,0
'332653776,Eilish_04,23,46
'2568968623,Severs_Snape,21,106
'2364680712,wenrude1,8,16
'2152672910,Alann_Etienne,58,0
'2197328545,KaiuYang,29,197
'597170898,Davidsuckiteasy,9,0
'929244180,bkswewe3,2,0
'2168318184,Ga_aspect,330,807
'2876261657,BrumLukays,95,676
'2594917196,chnbpn_,6,0
'3045592960,kim_mamakim,30,232
'1907308980,510599404,8,0
'507219503,sanytopor,8,73
'778342872,MotaMarconi,7,21
'1264818702,joaocarloshorac,16,12
'235569170,hana1803,2,0
'286029487,deroyalex,55,529
'330502238,Hoser81,206,0
'214470757,vaydn61,12,67
'179572912,SuccessWithAIL,22,71
'488537532,florcillareyes,71,698
'321400525,DrakeNicole,21,131
'1029275960,yomynigha,194,955
'703518282,Khalid87976967,25,0
'190471141,tpo949,17,128
'286520884,kijun76,5,43
'116123156,BenBratz,38,22
'835849842962345985,tHfOfmGslSnsUev,119,859
'117038487,interacial333,4,0
'979750488,ClassWong,47,172
'405189913,LeongFookYau,54,0
'1501522896,antoniocano2002,17,201
'2391451822,diegocosta464,36,0
'145584520,xchibimarukox,31,300
'240452926,tasmankrk,9,76
'722112277,Bildschirmhd,105,0
'1462241905,sunilmaridi,14,35
'3361996152,530495261Ricky,32,130
'2384821279,Erinklq,6,0
'148162984,kids2007,37,559
'1483807045,gouravk49856861,12,138
'777356157446922240,Wht24204165,8,0
'3275262355,lea_zain,9,139
'395683510,bognanmp,38,249
'309093605,soccerstar1419,18,147
'330789487,tai_jack,8,0
'43193664,libyanmusic,72,0
'1692973218,JohnMick11,0,0
'1011661662,alinasyr826,13,0
'268183721,wjdwndud295,9,0
'1643750101,Asdfneke,29,0
'109653878,eeminee42,43,29
'747868879,GimenoMarie,8,61
'228062126,dmitry195,3,0
'4713696265,xiaix1981,32,0
'1235010914,BartekGubala,85,0
'1926886764,wxpwxpwxp6598,32,0
'243440725,mido_nono,5,2
'132436410,Yofs,15,0
'216312083,rattanapung,92,774
'493067194,OlCharl,2,24
'2841901644,Pompeius2,21,165
'571717271,Nadine11120,20,111
'2875313372,2240570363Mai,40,226
'1702914978,Alastair___,55,0
'2899892072,xingxiancen,5,9
'853297230,sam7wing,15,0
'781380719104974848,stevejustin11,2,0
'2198868374,C_Rezcon,23,0
'469023722,Drimian1,23,83
'198953294,JacquetLindsay,11,0
'581627797,jennylikekathi,40,0
'431434153,soccerkairi,10,0
'374888116,DDelitto,23,0
'1240468633,cheapoair22,4,0
'192939835,lopezch1,9,0
'2668931528,weles1967,22,1717
'203819363,ripridmore645,14,0
'634865928,vicenteandresce,10,0
'3239211815,sguilherme582,19,157
'938761722839601153,inRecruitJobs,157,1533
'338720712,lovelyyeojoo,17,60
'2969417643,Jarek1000,12,0
'106182605,fester2010,11,0
'519506174,benkhalihassen,57,0
'2462865746,hiphopismetalmu,15,123
'711165265,Tim84465144,26,324
